stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding,out_of_service
200336,200336,"Av. Primera, 41",Banderola,41.3574573,1.95106453,https://app.ambmobilitat.cat/stops/busamb:200336,0,0
200337,200337,"Av. Primera - Carrer 24",Pal,41.35482489,1.95593877,https://app.ambmobilitat.cat/stops/busamb:200337,0,0
200338,200338,"Av. Primera - Av. Segona",Banderola,41.35589297,1.96503749,https://app.ambmobilitat.cat/stops/busamb:200338,0,0
200339,200339,"Raval Mas",Pal,41.35491549,1.96875436,https://app.ambmobilitat.cat/stops/busamb:200339,0,0
200340,200340,"Pisos Can Coll",Banderola,41.35416048,1.97456202,https://app.ambmobilitat.cat/stops/busamb:200340,0,0
200341,200341,"Masia de Can Coll",Pal,41.35389975,1.97662128,https://app.ambmobilitat.cat/stops/busamb:200341,0,0
200342,200342,"Baixada de la Masia - Ctra. Torrelletes",Banderola,41.35034805,1.97643487,https://app.ambmobilitat.cat/stops/busamb:200342,0,0
200343,200343,"Rda. Molí - Finestrelles",Banderola,41.34502819,1.97379289,https://app.ambmobilitat.cat/stops/busamb:200343,0,0
200344,200344,"Ginesta, 4",Banderola,41.34532923,1.97558059,https://app.ambmobilitat.cat/stops/busamb:200344,0,0
200345,200345,"Ginesta, 12",Banderola,41.34435009,1.97619045,https://app.ambmobilitat.cat/stops/busamb:200345,0,0
200346,200346,"Ginesta, 16",Banderola,41.34350786,1.97634368,https://app.ambmobilitat.cat/stops/busamb:200346,0,0
200347,200347,"Ginesta, 26",Banderola,41.34201569,1.97569726,https://app.ambmobilitat.cat/stops/busamb:200347,0,0
200348,200348,"Cirerers, 66",Banderola,41.34290576,1.97802542,https://app.ambmobilitat.cat/stops/busamb:200348,0,0
200349,200349,"Cirerers, 42",Banderola,41.34433952,1.97996332,https://app.ambmobilitat.cat/stops/busamb:200349,0,0
200350,200350,"Cirerers, 34",Banderola,41.34639746,1.98202728,https://app.ambmobilitat.cat/stops/busamb:200350,0,0
200351,200351,"Cirerers, 12",Banderola,41.34749437,1.98211646,https://app.ambmobilitat.cat/stops/busamb:200351,0,0
200352,200352,"Cirerers, 1",Banderola,41.34843923,1.97849145,https://app.ambmobilitat.cat/stops/busamb:200352,0,0
200353,200353,"Rda. Molí - Falgueres",Banderola,41.3495205,1.98060839,https://app.ambmobilitat.cat/stops/busamb:200353,0,0
200354,200354,"Rda. Molí, parc. 240",Banderola,41.34904002,1.97768713,https://app.ambmobilitat.cat/stops/busamb:200354,0,0
200355,200355,"Rda. Molí - Font Bosquina",Pal,41.34953359,1.97668163,https://app.ambmobilitat.cat/stops/busamb:200355,0,0
200356,200356,"Parc Can Sostres",Pal,41.35643757,1.98200045,https://app.ambmobilitat.cat/stops/busamb:200356,0,0
200357,200357,"Av. Dolça de Provença, 57",Banderola,41.36193315,1.9933747,https://app.ambmobilitat.cat/stops/busamb:200357,0,0
200358,200358,"Av. Dolça de Provença, 57",Banderola,41.36189943,1.99302098,https://app.ambmobilitat.cat/stops/busamb:200358,0,0
200359,200359,"Raval Roig",Marquesina,41.36306804,1.98352663,https://app.ambmobilitat.cat/stops/busamb:200359,0,0
