key,value,definition
payment:discover_card,yes,payment:discover_card=yes
payment:ep_easycard,yes,payment:ep_easycard=yes
payment:ep_ipass,yes,payment:ep_ipass=yes
payment:girocard,yes,payment:girocard=yes
payment:google_pay,yes,payment:google_pay=yes
payment:jcb,yes,payment:jcb=yes
payment:lightning,yes,payment:lightning=yes
payment:maestro,yes,payment:maestro=yes
payment:mastercard,yes,payment:mastercard=yes
payment:notes,no,payment:notes=no
payment:notes,yes,payment:notes=yes
payment:onchain,yes,payment:onchain=yes
payment:unionpay,yes,payment:unionpay=yes
payment:visa_debit,yes,payment:visa_debit=yes
payment:visa_electron,yes,payment:visa_electron=yes
payment:visa,yes,payment:visa=yes
piste:oneway,yes,piste:oneway=yes
plant:output:electricity,yes,plant:output:electricity=yes
pole,no,pole=no
pole,yes,pole=yes
power_supply,no,power_supply=no
power_supply,yes,power_supply=yes
preschool,yes,preschool=yes
priority_road,yes,priority_road=yes
project:eurosha_2012,yes,project:eurosha_2012=yes
project:mappingforniger,yes,project:mappingforniger=yes
protected,yes,protected=yes
psv,no,psv=no
psv,yes,psv=yes
pump,no,pump=no
pump,yes,pump=yes
railway:asfa,yes,railway:asfa=yes
railway:atb,no,railway:atb=no
railway:atb,yes,railway:atb=yes
railway:atc,no,railway:atc=no
railway:atc,yes,railway:atc=yes
railway:aws,yes,railway:aws=yes
railway:ballastless,no,railway:ballastless=no
railway:ctc,no,railway:ctc=no
railway:ctc,yes,railway:ctc=yes
railway:etcs,no,railway:etcs=no
railway:etms,yes,railway:etms=yes
railway:evm,no,railway:evm=no
railway:gnt,no,railway:gnt=no
railway:kvb,no,railway:kvb=no
railway:kvb,yes,railway:kvb=yes
railway:local_operated,no,railway:local_operated=no
railway:local_operated,yes,railway:local_operated=yes
railway:ls,no,railway:ls=no
railway:ls,yes,railway:ls=yes
railway:lzb,no,railway:lzb=no
railway:lzb,yes,railway:lzb=yes
railway:milestone:catenary_mast,no,railway:milestone:catenary_mast=no
railway:milestone:catenary_mast,yes,railway:milestone:catenary_mast=yes
railway:milestone:emergency_brake_override,no,railway:milestone:emergency_brake_override=no
railway:preserved,yes,railway:preserved=yes
railway:ptc,no,railway:ptc=no
railway:ptc,yes,railway:ptc=yes
railway:pzb,no,railway:pzb=no
railway:pzb,yes,railway:pzb=yes
railway:scmt,yes,railway:scmt=yes
railway:shp,yes,railway:shp=yes
railway:switch:electric,no,railway:switch:electric=no
railway:switch:electric,yes,railway:switch:electric=yes
railway:switch:heated,yes,railway:switch:heated=yes
railway:tbl,no,railway:tbl=no
railway:tilting,no,railway:tilting=no
railway:tpws,yes,railway:tpws=yes
railway:tvm,no,railway:tvm=no
