stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
"PF17044000","Carrer Provincial, 51","",41.88971216824875,2.877205145073731,,,0,,
"PF17038000","Campllong","",41.89671075882047,2.831298145475088,,,0,,
"PF17150000","Riudellots de la Selva","",41.90464277410551,2.7886658749433706,,,0,,
"PF17073005","Fornells (Pol. Ind/N-II)","",41.935607582170135,2.798391533642087,,,0,,
"PF17155000","Passeig dels Països Catalans ","",41.97306260119806,2.7949276994601164,,,0,,
"PF17155001","Salt (Hospital)","",41.96859991540359,2.798764981726742,,,0,,
"PF08136031","av. Mogent - Vial Nord (D)","",41.54904804659519,2.266135401123157,,,0,,
"PF08136025","av. Llibertat (pl. Joventut) - Ajuntament  parada bus  MB0491","",41.54486145517314,2.2664172593668663,,,0,,
"PF08136016","av. Barcelona - c. Pau Casals","",41.542317865323945,2.2619125573621517,,,0,,
"PF08136029","cruïlla Montmeló (Can Bosquerons) (D)","",41.54584041661623,2.251303934633932,,,0,,
"PF08135002","av. Pompeu Fabra - c. Estació Vella","",41.55117790526579,2.2486452817828204,,,0,,
"PF08135010","c. Vic (pl. Ernest Lluch)","",41.553753100588764,2.2502697994630205,,,0,,
"PF08135025","rda. Pedregar - c. Can Tabola (D)","",41.55826195148112,2.254847053414418,,,0,,
"PF08135026","Verneda del Congost (sota autopista) (D)","",41.55904231061176,2.258695721796476,,,0,,
"PF08135014","Verneda del Congost - c. Can Sastre (D)","",41.56098149146058,2.260325657065098,,,0,,
"PF08135027","Verneda del Congost - Rec Molinar (D)","",41.56411909733032,2.2630294014866115,,,0,,
"PF08096084","c. Marconi (Bandalux)","",41.57791369598757,2.274234461957568,,,0,,
"PF08096085","c. Marconi - Camí de Parets","",41.58145707641361,2.2747946028237473,,,0,,
"PF08096086","c. Marconi (pàrquing)","",41.58449585604434,2.275324453619425,,,0,,
"PF08096087","c. Marconi (les Pistes)","",41.58762568018738,2.276009301656429,,,0,,
"PF08096089","c. Marconi (Raer)","",41.59068550362369,2.2755911766128754,,,0,,
"PF08096130","av. Sant Julià - c. Empordà (D)","",41.59421232993346,2.274955888556981,,,0,,
"PF08096090","pol. ind. Jordi Camp (Centre Comercial)","",41.60031654448742,2.277391924859278,,,0,,
"PF08096034","av. Prat de la Riba - c. Aragó","",41.603027130274135,2.2866730881190107,,,0,,
"PF08019212","Barcelona Nord (estació d'autobusos)","",41.39401443989891,2.1822504379297385,,,0,,
"PF08114020","pol. ind. Seat (Hospital Psiquiàtric) (A) MB0175","",41.494824808170755,1.9115267871168578,,,0,,
"PF08102100","Igualada (estació d'autobusos) PNL","",41.577554806865365,1.6311966733409096,,,0,,
"PF25072002","Cervera (estació d'autobusos)","",41.67372481586554,1.2739241119806564,,,0,,
"PF25217005","Tàrrega (estació d'autobusos)","",41.65067382292663,1.1396233376181595,,,0,,
"PF25217000","Claravalls (ctra. C-14, pk 79,3) (A)","",41.70216000456005,1.1245953101965729,,,0,,
"PF25217003","Sta. Maria de Montmagastrell (C-14, pk 81,2) (A)","",41.718709268682815,1.1226474930911834,,,0,,
"PF25003000","Agramunt","",41.784577729682184,1.0949766798531513,,,0,,
"PF25177001","Preixens (pl. de Baix, 6)","",41.79367101668308,1.0507902142546437,,,0,,
"PF25177000","Pradell de Sió (Pl. de l'Arbre, 1-2)","",41.79670400471094,1.0285044665692435,,,0,,
"PF25177002","Les Ventoses (ctra. LV-3025d) (D)","",41.796095267601615,1.0135629266111046,,,0,,
"PF25138000","Butsènit (c. de la Carretera, 29-31)","",41.801166911616136,0.9923905149021414,,,0,,
"PF25138001","Montgai (Pl. Prat de la Riba) (A)","",41.799775718706876,0.9609712906163823,,,0,,
"PF25040001","Flix (embrancament) (D)","",41.80053972238491,0.9157386240066018,,,0,,
"PF25035001","La Sentiu de Sió (c. Gaudí, 5)","",41.80532506824971,0.8780394870864531,,,0,,
"PF25040000","Balaguer (estació d'autobusos)","",41.78781260521114,0.8075790700030585,,,0,,
"PF25069000","Castelló de Farfanya (c. Francesc Macià/ Dr. Nart)","",41.81736405927222,0.7282334851318293,,,0,,
"PF25015001","Algerri (ctra. Balaguer, 20)","",41.81406587541888,0.6379876546040583,,,0,,
"PF25013004","Alfarràs (av. Lleida, 20)","",41.82946204129403,0.5687611504382439,,,0,,
"PF25207017","Solsona (estació d'autobusos)","",41.99630175618025,1.5158156506763778,,,0,,
"PF25151014","Torregassa (C-149a, pk 5,2) (A)","",41.9923312491061,1.4719893720917452,,,0,,
"PF25166001","Sant Climenç (c. Major/pl. del Castell)","",41.951054962562786,1.4181282802807333,,,0,,
"PF08019241","pg. Gràcia, 36 - c. Diputació (marq. urbana)","",41.3909206335886,2.16659590090992,,,0,,
"PF08019243","Passeig de Gràcia, 104 (marquesina urbana)","",41.39596383038348,2.1602635780416715,,,0,,
"PF08019244","Av. Diagonal, 596 (marquesina urbana)","",41.393173853208346,2.1458974965300417,,,0,,
"PF08019245","Av. Diagonal, 670 (marquesina Maria Cristina)","",41.38820851319614,2.126406791204137,,,0,,
"PF08019246","Av. Diagonal, 686 (Palau Reial - boca metro)","",41.386486000853225,2.1180799997121547,,,0,,
"PF08169003","Aeroport del Prat T-2","",41.30345026005726,2.077143125201875,,,0,,
"PF08169004","Aeroport del Prat T-1","",41.28753715020686,2.0730767963855135,,,0,,
"PF43171003","Pg. Pau Casals (H. La Hacienda) sentit Cambrils","",41.08380945994246,1.1829498855860028,,,0,,
"PF43171099","Pg. Pau Casals (La Vasca) sentit Cambrils","",41.08195904301198,1.1835603718088732,,,0,,
"PF43171098","Pg. Pau Casals (Sant Just) sentit Cambrils","",41.07903475381973,1.1831885637755701,,,0,,
"PF43171005","Pg. Pau Casals (Rest. Dorado) sentit Cambrils","",41.074899257614135,1.1808385346803945,,,0,,
"PF43905041","Ctra. de la Costa (passat Salou Club)","",41.06395154513241,1.1749160975543511,,,0,,
"PF43905033","C. de la Ginesta (H. Los Molinos) ","",41.06175393067704,1.163028608285129,,,0,,
"PF43905202","Ctra. de la Costa-C. Replanells (enfront Cap d'Or)","",41.0636614835083,1.1606429151004338,,,0,,
"PF43905215","Av. Pla del Maset (restaurant Lumine)","",41.06897349135197,1.1621849160203974,,,0,,
