route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
0050,185080,1600203,,,0,,,
0050,185080,1600206,,,0,,,
0050,185080,1600220,,,0,,,
1624,186101,1600239,,,0,,,
1671,184735,1600278,,,0,,,
1671,184735,1600279,,,0,,,
1671,184749,1600285,,,0,,,
0096,185380,1600319,,,1,,,
0050,185080,1600396,,,0,,,
0663,184749,1600805,,,0,,,
0663,185380,1600821,,,0,,,
0663,185377,1600841,,,0,,,
1087,185086,1600871,,,1,,,
0832,184732,1600968,,,1,,,
1087,185086,1599597,,,1,,,
1087,184862,1599598,,,1,,,
0050,185380,1599609,,,1,,,
0050,185380,1599615,,,1,,,
0050,185380,1599616,,,1,,,
0050,185380,1599625,,,1,,,
0050,185380,1599626,,,1,,,
0050,185380,1599628,,,1,,,
0326,184732,1599663,,,0,,,
0377,184732,1599717,,,1,,,
0410,185643,1599743,,,1,,,
0972,184732,1599789,,,1,,,
0972,184732,1599790,,,0,,,
1656,184771,1599823,,,1,,,
0479,185086,1599873,,,0,,,
0479,185086,1599882,,,1,,,
0160,184994,1598818,,,1,,,
1105,185494,1598862,,,1,,,
1861,184732,1598912,,,1,,,
0968,184735,1598929,,,0,,,
0968,184749,1598931,,,0,,,
0056,185086,1598993,,,1,,,
0056,184732,1598994,,,0,,,
0731,185048,1599002,,,1,,,
0050,185080,1599011,,,1,,,
1007,184732,1599065,,,1,,,
1671,184732,1599082,,,0,,,
0257,184899,1599204,,,1,,,
0395,184732,1599240,,,1,,,
0420,184732,1599286,,,0,,,
0751,184732,1599287,,,1,,,
1624,185467,1599292,,,0,,,
1624,186103,1599332,,,0,,,
1656,185380,1599363,,,1,,,
1656,185380,1599366,,,0,,,
1656,185380,1599368,,,0,,,
0761,184862,1603419,,,1,,,
0588,184735,1603420,,,1,,,
0588,184735,1603422,,,1,,,
1383,184732,1603483,,,1,,,
1712,185380,1604124,,,1,,,
0354,184771,1604139,,,1,,,
0354,184771,1604149,,,1,,,
0354,184771,1604150,,,1,,,
0354,185380,1604160,,,0,,,
0354,185380,1604165,,,0,,,
0354,185380,1604171,,,0,,,
0354,185380,1604188,,,0,,,
1008,186065,1604645,,,0,,,
0657,184765,1604705,,,1,,,
0657,184765,1604707,,,0,,,
0026,184732,1604739,,,0,,,
0354,185380,1604757,,,0,,,
0354,185380,1604759,,,0,,,
0679,184732,1604772,,,1,,,
0354,185380,1604775,,,0,,,
0377,184732,1604828,,,1,,,
0377,184732,1604830,,,0,,,
0367,184862,1604833,,,1,,,
0367,184862,1604843,,,0,,,
0832,184732,1604858,,,1,,,
0832,184732,1604862,,,1,,,
0832,184732,1604865,,,1,,,
0832,185922,1604866,,,1,,,
1383,184732,1604947,,,0,,,
1383,184732,1604966,,,0,,,
1383,184735,1604970,,,0,,,
0663,185380,1605114,,,0,,,
1757,184862,1605127,,,0,,,
0406,184732,1605145,,,0,,,
1663,184732,1605163,,,0,,,
1663,184732,1605167,,,0,,,
1755,185196,1605380,,,1,,,
1755,184777,1605381,,,1,,,
1755,185196,1605383,,,1,,,
1755,184777,1605398,,,0,,,
1748,185461,1605487,,,1,,,
1742,185830,1605664,,,0,,,
1030,185175,1604285,,,1,,,
1030,185086,1604286,,,0,,,
0206,184735,1604327,,,0,,,
0206,184732,1604331,,,0,,,
0206,184749,1604332,,,0,,,
0755,184732,1604438,,,1,,,
0756,184732,1604441,,,0,,,
0466,185086,1604457,,,0,,,
0466,185086,1604476,,,0,,,
0832,184732,1604513,,,1,,,
