service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,name
185488,0,0,0,0,0,0,0,20250601,20260601,"Dilluns, divendres i dissabtes feiners en període de vacances escolars d'estiu, Nadal i Setmana Santa"
185494,0,0,0,0,0,0,0,20250601,20260601,"Diari excepte diumenges i 25/12"
185498,0,0,0,0,0,0,0,20250601,20260601,"Dissabte i diumenges 15/9-20/6 excepte Nadal i 1/1"
185526,0,0,0,0,0,0,0,20250601,20260601,"Diari. De l'1/11 al 30/04"
185529,0,0,0,0,0,0,0,20250601,20260601,"Diumenges [Diumenges del Calendari universitari]"
185532,0,0,0,0,0,0,0,20250601,20260601,"Dimecres no lectius"
185539,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners de l'1/11 al 28/02"
185537,0,0,0,0,0,0,0,20250601,20260601,"Feiners. De l'1/11 a diumenge de Rams"
185542,0,0,0,0,0,0,0,20250601,20260601,"Feiners. De l'1/05 al 30/06 i de l'1/09 al 31/10"
185547,0,0,0,0,0,0,0,20250601,20260601,"Diari. De l'1/11 al 31/03 excepte 25/12 i 1/1"
185544,0,0,0,0,0,0,0,20250601,20260601,"Diari. De l'1/09 al 30/09"
185551,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners de l'1/07 al 31/08"
185554,0,0,0,0,0,0,0,20250601,20260601,"Diari excepte 25/12"
186606,0,0,0,0,0,0,0,20250601,20260601,"de dilluns a divendres feiners de l'1/09 al 30/06"
184570,0,0,0,0,0,0,0,20250601,20260601,"Dilluns feiners del 22/06 al 10/09"
184572,0,0,0,0,0,0,0,20250601,20260601,"Dijous feiners de l'1/07 al 31/08"
185602,0,0,0,0,0,0,0,20250601,20260601,"Diari. Del 23/06 al 07/09"
185605,0,0,0,0,0,0,0,20250601,20260601,"Diari. Dies obertura Parc del 26/10 a l'1/05 excepte S.Santa i setmana posterior"
185618,0,0,0,0,0,0,0,20250601,20260601,"Feiners. De l'1/11 al 30/04"
184594,0,0,0,0,0,0,0,20250601,20260601,"Dimecres i divendres"
185620,0,0,0,0,0,0,0,20250601,20260601,"Feiners excepte Juliol i Agost"
185627,0,0,0,0,0,0,0,20250601,20260601,"Diari. De l'1/10 al 31/10"
185625,0,0,0,0,0,0,0,20250601,20260601,"Dissabtes i festius del 12/09 al 27/06"
185628,0,0,0,0,0,0,0,20250601,20260601,"Dissabtes i festius de juliol i diari d'agost"
184610,0,0,0,0,0,0,0,20250601,20260601,"Diari. De l'1/11 a diumenge de Rams"
185632,0,0,0,0,0,0,0,20250601,20260601,"Circula el 25/12 i 1/1"
185637,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners de l'1/05 al 19/05 i de l'11/10 al 31/10.Setmana Santa i setmana posterior"
184613,0,0,0,0,0,0,0,20250601,20260601,"Diumenges excepte 25/12"
